geometry,barrio_name,name_normalized,index_right,identificad,nombre_de_l,densidad_ur,lon_barr,lat_barr
"MULTIPOLYGON (((-74.09653860356684 4.638361900750034, -74.09653822994838 4.637808107611462, -74.09718582784369 4.637943821400843, -74.09653860356684 4.638361900750034)), ((-74.09509993644495 4.634325819656313, -74.09522276700393 4.634240430778503, -74.09537785452235 4.634455024928839, -74.09553081546885 4.634665196775517, -74.09533370770622 4.634855273820005, -74.0952084031637 4.63456735895518, -74.09519273220782 4.634556483316027, -74.09516510992124 4.634498963972066, -74.09511174831984 4.634457034958931, -74.09514763622315 4.634426891796094, -74.09509993644495 4.634325819656313)), ((-74.09617393842609 4.636185031538801, -74.09611457575416 4.636080999110126, -74.0960736427291 4.6360875805444355, -74.09605382963416 4.636048933525394, -74.09604341900757 4.636023770472915, -74.09601313685275 4.636021636795262, -74.09595444191415 4.635877651689381, -74.09624932167857 4.635790647841717, -74.0963002098043 4.635880952296137, -74.09632010955116 4.636248768509778, -74.09632687167118 4.636426038695169, -74.09624638590503 4.636436855033816, -74.09619069536433 4.6362543041081015, -74.09620928814913 4.636249507276263, -74.09617393842609 4.636185031538801)))",(CAMA VIEJA) VILLA DEL CLAN,(Cama Vieja) Villa Del Clan,7.0,13,TEUSAQUILLO,699.3297724352,-74.0961877593891,4.636489154153096
"POLYGON ((-74.08690647100002 4.625588159000017, -74.08689537700002 4.6256940239999835, -74.08684381500001 4.6263388570000075, -74.08678328100001 4.627165681000008, -74.08674965400002 4.627590327000007, -74.086707531 4.627617871999973, -74.08614503799998 4.627985708999972, -74.08572985299998 4.628255360000025, -74.08568100600002 4.628188275000013, -74.085515283 4.627947340999981, -74.08541460999999 4.6277965620000145, -74.08543784699998 4.627784130000009, -74.08527057200001 4.627568064000001, -74.085190033 4.627454591000002, -74.08541466100002 4.627257214999986, -74.08557393500001 4.627088058000026, -74.08579479500003 4.626817248999998, -74.08615798800002 4.626359335000017, -74.08664880399999 4.625566589000015, -74.08690647100002 4.625588159000017))",Gran América - El Parque,Gran America - El Parque,7.0,13,TEUSAQUILLO,699.3297724352,-74.08620127287163,4.6270521326870755
"POLYGON ((-74.08678177799999 4.652800852999973, -74.087365955 4.651949608999984, -74.08810863399998 4.652437739999982, -74.08850376700002 4.652703385999984, -74.08896795300001 4.653015231999972, -74.089201963 4.653173079999987, -74.08997190899998 4.653713964000019, -74.089760963 4.653795899999977, -74.08877651 4.654213089999984, -74.08818632499998 4.653795306000006, -74.08787754500003 4.653584911999985, -74.08759151800001 4.653381041999978, -74.08730224099997 4.653172281000024, -74.08692195600003 4.652901541999995, -74.08678177799999 4.652800852999973))",Pablo VI - Urb. Montana Quirinal III Etapa,Pablo Vi - Urb. Montana Quirinal Iii Etapa,7.0,13,TEUSAQUILLO,699.3297724352,-74.08825486482355,4.65315913896612
"POLYGON ((-74.10087756799999 4.6496573260000105, -74.10033582099999 4.648784243000022, -74.099487861 4.6474683920000075, -74.099472273 4.647443583999972, -74.09871056899999 4.646231336000028, -74.09799608999998 4.645096708999972, -74.097097104 4.643698122999978, -74.09624523000002 4.6423743880000075, -74.095491498 4.641223998999976, -74.09474954900003 4.640061790999993, -74.09454292200002 4.639740558000028, -74.094673365 4.639656431999981, -74.095122962 4.639368444000012, -74.09558311199999 4.639073043999985, -74.096319774 4.638602944000012, -74.09655418599999 4.638450191999993, -74.09701844199998 4.6381476650000195, -74.09723333199997 4.638007073999972, -74.097573705 4.637784384999974, -74.09836821599998 4.638943714999982, -74.09886423400002 4.639657032000002, -74.099518773 4.6406012799999985, -74.10026536100003 4.641648162000024, -74.10071535999998 4.642299896999986, -74.10118581299997 4.642972159999999, -74.10170229200003 4.643695739999998, -74.10259208000002 4.644793945999993, -74.10314948000001 4.645455948999995, -74.10383472299998 4.646282170000006, -74.10451485300001 4.647134047000008, -74.10472962099999 4.647534319999977, -74.10489326200002 4.647739591000004, -74.10552337000001 4.648534503999997, -74.10640889400003 4.6496179119999965, -74.103414682 4.653493536999974, -74.10336859900002 4.6535531960000185, -74.10295430899998 4.6529090710000105, -74.101996418 4.651404119999995, -74.101132748 4.650068572999998, -74.10087756799999 4.6496573260000105))",Ciudad Salitre Nororiental,Ciudad Salitre Nororiental,7.0,13,TEUSAQUILLO,699.3297724352,-74.10063017864559,4.645543034196724
"POLYGON ((-74.099032061 4.633946718000004, -74.099132881 4.633585089999996, -74.100806079 4.635301619000017, -74.10080943999998 4.635305066, -74.10042692299999 4.635804752000012, -74.10030247999998 4.635942974999977, -74.10002693000001 4.636206043000015, -74.09987489600002 4.63630926799999, -74.09979624300001 4.636226339000018, -74.09949665099998 4.635916063000024, -74.09914672899998 4.635562490999973, -74.098899867 4.635302724999974, -74.098717717 4.635100685999987, -74.09873187699998 4.6350587750000045, -74.09896445800001 4.63418919999998, -74.099032061 4.633946718000004))",Bosques del Salitre,Bosques Del Salitre,7.0,13,TEUSAQUILLO,699.3297724352,-74.09966655842193,4.635055291221979
"POLYGON ((-74.09682719699998 4.631219675000011, -74.096313742 4.6316872149999995, -74.09582998100001 4.632128232000013, -74.09531887499998 4.632592460000012, -74.09481828600002 4.633039805999999, -74.09450355000001 4.63333127300001, -74.09435523799999 4.633114673000022, -74.09334697499997 4.631587720000027, -74.09277722600001 4.63073523600002, -74.09256255100001 4.630410460999996, -74.09268030300001 4.630330432999983, -74.09283850999998 4.6302187840000215, -74.09310037 4.630041457999993, -74.09331640200003 4.629928717999973, -74.093662274 4.629693379000002, -74.09392304300002 4.6295204319999925, -74.094061609 4.6294306749999805, -74.09417397200002 4.6295916110000235, -74.094231906 4.629655564000017, -74.09491247099999 4.629255327999999, -74.09682719699998 4.631219675000011))",Ortezal_,Ortezal_,7.0,13,TEUSAQUILLO,699.3297724352,-74.09466006114542,4.631105697797682
"POLYGON ((-74.100866924 4.670660675000021, -74.10074521899998 4.670568150000008, -74.10044648299998 4.670388648000027, -74.09974390000002 4.669983376000004, -74.09880343499998 4.6694522660000075, -74.098027092 4.669015532000003, -74.09718989700002 4.668530685999996, -74.09695570299999 4.668406697000023, -74.09659611799998 4.668177230000026, -74.09604659899998 4.6677941710000255, -74.095474954 4.6673870559999955, -74.09512828200002 4.667118732999995, -74.09454557599997 4.666680161999977, -74.09400343700003 4.666287851999982, -74.09370419200002 4.666064582999979, -74.09371433899997 4.6660514469999725, -74.09947292800001 4.6585965410000085, -74.09982187100002 4.65888879800002, -74.100435339 4.659394545999987, -74.100635694 4.659563896999998, -74.10132492499997 4.660144299000023, -74.10183254700001 4.660563462000027, -74.10248423899998 4.661101441000028, -74.10303319500002 4.661556639000025, -74.10315360800001 4.661536511999997, -74.10363520599998 4.661975240999993, -74.10416119799999 4.662453453000011, -74.10420617099999 4.662418494999997, -74.10428055900002 4.662327313999981, -74.10367670800002 4.6617788059999725, -74.10339772100002 4.661528944999986, -74.10327772599999 4.661419066999997, -74.10319372999999 4.661354343000027, -74.10264175499998 4.660901278999972, -74.10241076599999 4.6607086139999865, -74.102154278 4.660496380999973, -74.10171479899998 4.660132122999982, -74.10140131399999 4.6598702179999805, -74.10099933499998 4.659537569999997, -74.10075334700002 4.659332862999974, -74.100596699 4.659212919000026, -74.10062913500002 4.659163476000003, -74.10058235999998 4.659128161000012, -74.09994638900002 4.658652512000003, -74.09961768099998 4.658409144000017, -74.10048787300002 4.657282598999984, -74.10336859900002 4.6535531960000185, -74.103414682 4.653493536999974, -74.10341470700001 4.653493575000027, -74.10343720899999 4.653528882999978, -74.10610726700003 4.657718425999974, -74.10628673399998 4.658000022999999, -74.10939369200003 4.662875019000011, -74.10951742999998 4.663069167999992, -74.10951732199999 4.663069269999994, -74.10689519599998 4.665526799000019, -74.10537041499998 4.666907036999987, -74.10494978399998 4.667293856000014, -74.104353893 4.667803750000018, -74.10386315900001 4.6681993540000235, -74.103425007 4.668498250000027, -74.10177752700002 4.670010352000019, -74.10119914699999 4.670643331999997, -74.100916719 4.670627373000002, -74.100866924 4.670660675000021))",S.C. Jardín Botánico,S.C. Jardin Botanico,7.0,13,TEUSAQUILLO,699.3297724352,-74.1019008023776,4.663023042910135
"POLYGON ((-74.06900611999998 4.625370594999992, -74.069009703 4.625350174000004, -74.06944064800001 4.622894230999975, -74.06947652299999 4.622698077999984, -74.069526989 4.622422142999994, -74.069612893 4.622078584000007, -74.06971063399999 4.621624858000018, -74.06982814000003 4.621262256000022, -74.06989101200003 4.621068247999971, -74.06993639000001 4.620970740000018, -74.07007531300002 4.620672228999978, -74.07023089500001 4.620356784000023, -74.07072353400002 4.6206458240000075, -74.07084202800002 4.620702047999998, -74.07135263599997 4.620892356000013, -74.07151207099997 4.620916156000021, -74.07191281600001 4.620942145000015, -74.07205070999998 4.620914056999993, -74.072199377 4.620881644000007, -74.072597981 4.62078872699999, -74.07364728300001 4.62049482399999, -74.07432814100002 4.620332754999992, -74.07434107799997 4.6202484419999905, -74.074405765 4.619785795999973, -74.07450491600002 4.619411793999972, -74.07458465799999 4.619197772999996, -74.07473418799998 4.618884811999976, -74.07474559799999 4.619153762999985, -74.074802654 4.619639936999988, -74.07483762800001 4.619904283999972, -74.074896545 4.6202203920000215, -74.07508255300002 4.620758340000009, -74.07528697499998 4.621364686999982, -74.07546009100002 4.621878600999991, -74.075583478 4.622272356999985, -74.07577684900002 4.622871307000025, -74.07589103100003 4.623218848000021, -74.076038375 4.623557146999985, -74.07627255199998 4.62414566000001, -74.07618126800003 4.624129389000017, -74.07515580299997 4.623924251999994, -74.07431152700002 4.623773289999974, -74.07367928500003 4.623660552999979, -74.07352498300003 4.624501909000002, -74.07338031900002 4.625319090000005, -74.07323331399999 4.626167091000013, -74.07322783000001 4.626197708999995, -74.07318407000002 4.626187458999993, -74.072852765 4.626121852999972, -74.07262348900002 4.626072362000002, -74.072482482 4.626051641000003, -74.07216148700002 4.62606195699999, -74.07166852900002 4.626071103000015, -74.07147593399998 4.626058426999975, -74.07081331900002 4.625973224999995, -74.07067804600001 4.625942151999993, -74.07020459099999 4.625832816000013, -74.06987099700001 4.625747651999972, -74.06950645699999 4.625585413999999, -74.06911096599998 4.625415119000024, -74.06900611999998 4.625370594999992))",Teusaquillo,Teusaquillo,7.0,13,TEUSAQUILLO,699.3297724352,-74.07229850526811,4.623088109892236
"POLYGON ((-74.06758990700001 4.650137416000006, -74.064633663 4.649633623999989, -74.06463844500001 4.6496083939999835, -74.06491631699998 4.648142510000013, -74.06618583300002 4.641445224999984, -74.066306451 4.640757758999996, -74.066373182 4.6407824649999725, -74.06645766499997 4.640824119000001, -74.06690567300001 4.641080245000011, -74.06789086399999 4.641645982999989, -74.06885644900001 4.642226472000004, -74.06904688100002 4.64235112099999, -74.06898841600002 4.642681001000028, -74.06886359800001 4.64334454599998, -74.06876848399997 4.643964386999982, -74.06867931099998 4.644570321000003, -74.06856034600003 4.645188616999973, -74.068483045 4.645553233999976, -74.06838283799999 4.646049917000027, -74.068276895 4.646647085999973, -74.06821390200002 4.646997349000002, -74.06808791399999 4.647729455999979, -74.06797910099999 4.648392660000013, -74.06791324099999 4.6487917320000065, -74.06770137900003 4.64977361199999, -74.06762841900002 4.650143979000006, -74.06758990700001 4.650137416000006))",Chapinero Occidental,Chapinero Occidental,7.0,13,TEUSAQUILLO,699.3297724352,-74.06688086143508,4.645719525030662
"POLYGON ((-74.09947292800001 4.6585965410000085, -74.09961768099998 4.658409144000017, -74.09994638900002 4.658652512000003, -74.10058235999998 4.659128161000012, -74.10062913500002 4.659163476000003, -74.100596699 4.659212919000026, -74.10075334700002 4.659332862999974, -74.10099933499998 4.659537569999997, -74.10140131399999 4.6598702179999805, -74.10171479899998 4.660132122999982, -74.102154278 4.660496380999973, -74.10241076599999 4.6607086139999865, -74.10264175499998 4.660901278999972, -74.10319372999999 4.661354343000027, -74.10327772599999 4.661419066999997, -74.10339772100002 4.661528944999986, -74.10367670800002 4.6617788059999725, -74.10428055900002 4.662327313999981, -74.10420617099999 4.662418494999997, -74.10416119799999 4.662453453000011, -74.10363520599998 4.661975240999993, -74.10315360800001 4.661536511999997, -74.10303319500002 4.661556639000025, -74.10248423899998 4.661101441000028, -74.10183254700001 4.660563462000027, -74.10132492499997 4.660144299000023, -74.100635694 4.659563896999998, -74.100435339 4.659394545999987, -74.09982187100002 4.65888879800002, -74.09947292800001 4.6585965410000085))",El Salitre Sector Luís Maria Fernández,El Salitre Sector Luis Maria Fernandez,7.0,13,TEUSAQUILLO,699.3297724352,-74.10173094104006,4.660302386329185
