geometry,barrio_name,name_normalized,index_right,identificad,nombre_de_l,densidad_ur,lon_barr,lat_barr
"POLYGON ((-74.12392271849876 4.621924760943065, -74.12391083649283 4.621798214928768, -74.12373482839827 4.621813523978167, -74.1237180445242 4.621611778281254, -74.12402605925048 4.621564365181194, -74.12421889949862 4.621534842895744, -74.1243700710202 4.621507562853903, -74.12452138125052 4.621480707640117, -74.12468159207805 4.6214520230763005, -74.12480872470954 4.621429925440951, -74.12500668196103 4.621395286746289, -74.12498290949483 4.6214688584356605, -74.12485901410487 4.621861239043401, -74.12482639964459 4.621963067902314, -74.1247631983224 4.62196793914753, -74.12466443254202 4.621974722043645, -74.12462162509028 4.621977588044067, -74.12457590064012 4.621980229771927, -74.12453487327346 4.6219839383029155, -74.12448759030035 4.621987341101654, -74.124442078454 4.621989968364313, -74.12439801697845 4.621993354986673, -74.12435283484581 4.621996067225137, -74.12430755901583 4.621999001829228, -74.12426145797662 4.622002426344811, -74.1242165965521 4.622005115082004, -74.12417145944119 4.622008470922034, -74.124126711522 4.622011259091516, -74.12408165639953 4.622014285890976, -74.12403082580956 4.622017728320249, -74.12396321563776 4.622022594833918, -74.12389694327871 4.6220266080560926, -74.12378949131966 4.622033693374865, -74.12375462230328 4.622036310992297, -74.12375029083613 4.621983211982377, -74.12374645812928 4.621940113376622, -74.12385889196486 4.621929887905182, -74.12392271849876 4.621924760943065))",BRISAS DEL GALAN,Brisas Del Galan,13.0,16,PUENTE ARANDA,749.2164322225,-74.12437271236284,4.621738516005883
"POLYGON ((-74.09580505935493 4.62048159930736, -74.09580591705473 4.620480514630266, -74.09589000027772 4.620554187052559, -74.09594070676087 4.620598744505843, -74.0959640196392 4.620619726822835, -74.09597541127434 4.620629519209719, -74.09607256343958 4.620714963764741, -74.09612126017223 4.620758740050151, -74.09612905755928 4.620765749824251, -74.09612087438127 4.620774602516047, -74.09610102501571 4.620796078925596, -74.09603649489023 4.620863903027063, -74.09601444909578 4.620887015424708, -74.09596653043708 4.620935951790847, -74.0959198253516 4.6208944590120105, -74.09582955527617 4.62081617601162, -74.0957086704239 4.620710099801194, -74.09565175392484 4.620658033686622, -74.09569426930705 4.620607627132703, -74.09571767918892 4.6205820253677965, -74.09580505935493 4.62048159930736))",YIRA CASTRO,Yira Castro,13.0,16,PUENTE ARANDA,749.2164322225,-74.09588862000422,4.6207098380400256
"POLYGON ((-74.12544298350176 4.609168882336075, -74.1252621672583 4.609330302401804, -74.12511182390841 4.609464912204218, -74.12506932598629 4.609504822090415, -74.12501114368969 4.609414003244997, -74.124983818756 4.609365550728627, -74.12492113567524 4.609279961085793, -74.12493371906994 4.609269450346232, -74.12485918336344 4.609188955898987, -74.12497013329957 4.609088587457511, -74.12509868442979 4.608974242665647, -74.12518695119302 4.608894265696989, -74.12533439578823 4.609052307592558, -74.12537064487628 4.609089907546318, -74.12544298350176 4.609168882336075))",NUEVO TEJAR,Nuevo Tejar,13.0,16,PUENTE ARANDA,749.2164322225,-74.12514402355815,4.609191083884644
"POLYGON ((-74.12242650634614 4.6133380100436066, -74.12240022270298 4.613240019241975, -74.12236662515718 4.613111523518119, -74.12234723515567 4.613058307363665, -74.12226924777572 4.612857123557601, -74.12217143803831 4.612603153847246, -74.12210422225246 4.612428794181984, -74.12210379201457 4.612417979318095, -74.12230119490528 4.612668077222481, -74.12244213277305 4.612852405420265, -74.12259815760818 4.613055338279184, -74.12275052523083 4.613253132028804, -74.12281057894033 4.61322619002761, -74.12283542356438 4.613255167856666, -74.1229765962579 4.613428899861385, -74.12304567286532 4.6135136736124345, -74.12312150110901 4.613607386733974, -74.12319617999852 4.6136974948598155, -74.123263964854 4.613781548099121, -74.12331193171445 4.613840371458873, -74.12335688261976 4.6138960236626625, -74.12337553845828 4.6139789109945735, -74.12340223268176 4.614088326786686, -74.12342720472826 4.614189954094707, -74.12345160191384 4.614295331868218, -74.12346883662136 4.6143101825078405, -74.12351996776145 4.614356032476652, -74.12353274878528 4.614366271020965, -74.12359378484936 4.614440233223198, -74.12367133230984 4.614555423269782, -74.12357421320785 4.6145964838281435, -74.12348398928225 4.614636678614278, -74.12339721397234 4.614672407088477, -74.12335138314761 4.6146915675047415, -74.12330110024708 4.614711881211151, -74.12325023982369 4.614734355333607, -74.12320369274829 4.614755390507379, -74.12315355214619 4.61477656838339, -74.12310326921039 4.614797603427133, -74.12305470868704 4.6148193562601, -74.1230018402422 4.614841687474025, -74.12289925997067 4.614885628643899, -74.12284136282025 4.614911274459624, -74.12264870250866 4.614999590151162, -74.12249569496198 4.615068167598665, -74.12241064371412 4.615106202888168, -74.12249297592788 4.6150220407863065, -74.12264083163852 4.614867550024667, -74.12259754762829 4.614748890765367, -74.12275227723147 4.614689425160834, -74.12270298113674 4.614563512416848, -74.12268116075197 4.614504545266612, -74.12265557153488 4.614435164493497, -74.1226303839415 4.614370654211334, -74.12260668098705 4.614305466016425, -74.1225849948138 4.614247446206201, -74.12256519674365 4.614192266667632, -74.12255186341302 4.61415818552241, -74.12253166082249 4.614104220876847, -74.12251038094297 4.614046336670239, -74.12248882900829 4.613988452453698, -74.12246620140468 4.613932056100285, -74.12244370910669 4.61387051989533, -74.12242215898438 4.613812635676593, -74.12240020535535 4.613752587388876, -74.12237852189968 4.613695108133363, -74.1223554890711 4.613634517437759, -74.12233353540256 4.6135759570482, -74.12230983245522 4.613512122958175, -74.12227562105201 4.613421238730215, -74.12226532881185 4.61339378272719, -74.12242650634614 4.6133380100436066))",CAMELIA SUR 4 SECTOR,Camelia Sur 4 Sector,13.0,16,PUENTE ARANDA,749.2164322225,-74.1228648702501,4.613981774252337
"POLYGON ((-74.1149681661917 4.618574614264772, -74.11499981966317 4.618536458177995, -74.11507162103814 4.618598084484429, -74.11516019225726 4.618673693811084, -74.11524616369023 4.618747409238469, -74.11535150476483 4.618837479755324, -74.11546771167521 4.618936555873971, -74.11558934869795 4.619042979508856, -74.11554375897805 4.61909985941197, -74.11547596540213 4.619183994209622, -74.11543415415149 4.619234712050508, -74.1154058114148 4.619209350513975, -74.11515875653699 4.618995317012538, -74.11509522292627 4.618940563807225, -74.11500405372021 4.618862109629454, -74.1149133566071 4.618783179983796, -74.11484533238406 4.618725109062367, -74.11488076618069 4.618680316356442, -74.1149502128598 4.61859618168842, -74.1149681661917 4.618574614264772))",EL ARPA Y LA LIRA PUENTE ARANDA,El Arpa Y La Lira Puente Aranda,13.0,16,PUENTE ARANDA,749.2164322225,-74.11521811099209,4.6188849266644505
"POLYGON ((-74.12387938619821 4.615261301303196, -74.12389082356515 4.61525889806823, -74.12389213500376 4.6152655186341836, -74.12389467840599 4.6152850431144845, -74.12389606627883 4.615296032469379, -74.12389794239552 4.61530768805046, -74.12390056900267 4.615316956325674, -74.12390522880304 4.615355953747388, -74.12390910045187 4.615391842462517, -74.1239113761193 4.615417064525954, -74.12391158862594 4.615420083723097, -74.12391438596902 4.6154428271744825, -74.12391669881978 4.615460240925836, -74.12392039297515 4.61549693414992, -74.12392314977554 4.615519824039703, -74.12392372258147 4.615524231714299, -74.12392577865332 4.615542742851735, -74.12392788602372 4.615562844941379, -74.1239297644002 4.615588497271785, -74.12393255097828 4.615609850448788, -74.12393577504308 4.61564162798189, -74.1239387614655 4.615667603961396, -74.12394148657343 4.615695655399898, -74.12394252776505 4.6157019830775265, -74.1239450494368 4.615725064596819, -74.12394786379038 4.6157512159368865, -74.12395062575492 4.615781767699938, -74.12395325003533 4.615807680391312, -74.12394536022884 4.615810452551708, -74.12391953948507 4.61582109572889, -74.12388312809529 4.615836537632526, -74.12385697223907 4.615846905092182, -74.12382814800134 4.615858456638718, -74.12382752474507 4.615854130317877, -74.12382619219784 4.615831428495093, -74.12382575631257 4.615827340822863, -74.12382437873998 4.61580409120539, -74.12382296279631 4.615797631539009, -74.1238217061328 4.615768298347325, -74.12381953573542 4.61574723264563, -74.1238180459432 4.615740093207056, -74.12381685910115 4.615724743207681, -74.12381424199961 4.615699872769419, -74.12381171555243 4.6156854302919985, -74.12380820618776 4.615645284891516, -74.1238051510713 4.61562663451355, -74.12380114845018 4.615601775782035, -74.12379862828746 4.615588028441664, -74.12379773478348 4.6155834092325545, -74.12379408622026 4.615557919555815, -74.12379032762068 4.615536562731233, -74.12378401366773 4.615503275502942, -74.12378301754548 4.615496170430197, -74.1237795020665 4.6154783137046484, -74.12377568379725 4.615463655141622, -74.1237732997505 4.615447232115847, -74.12376969602289 4.615428279800964, -74.12376672887044 4.6154197084591955, -74.12376128309657 4.615394247650729, -74.123754927564 4.615365425929783, -74.12374719912196 4.615336683712095, -74.12374064359868 4.61530790356622, -74.12376444543047 4.615299564496892, -74.12379005620522 4.615290567409872, -74.12382256848844 4.61528039902523, -74.12386015267387 4.615267914883717, -74.12387938619821 4.615261301303196))",CAMELIAS FUCHA (BARRIO CAMELIAS SEUNDO SECTOR),Camelias Fucha (Barrio Camelias Seundo Sector),13.0,16,PUENTE ARANDA,749.2164322225,-74.12385686769352,4.615546923997312
"POLYGON ((-74.123736933937 4.6186840378660525, -74.12381175529718 4.6186477340611125, -74.12381185799686 4.618647690674859, -74.12390715786599 4.618607576467826, -74.12390792541072 4.618607252878587, -74.123979312496 4.618576392527584, -74.12400206677904 4.618566556478415, -74.12409471442999 4.618528324183587, -74.1241393293083 4.618509476450376, -74.12418469191309 4.618490200266078, -74.12427483662093 4.618462506107397, -74.12430711660775 4.618452717353442, -74.12431244255328 4.618451101259745, -74.12433745431731 4.6184435161040085, -74.12433879111202 4.618446218953846, -74.12434727309268 4.618463365327059, -74.12435851356281 4.618536766348834, -74.1243671925126 4.618593173046433, -74.12437120596417 4.618618541600479, -74.12436506563053 4.618620405351138, -74.1242479614621 4.618655952182127, -74.12424582660667 4.618649955316365, -74.12420012706345 4.618669470136373, -74.12415615178881 4.618688317893504, -74.12415857128013 4.618695457360236, -74.12406706228147 4.618734297153129, -74.12406679742416 4.6187344182738945, -74.12397441628073 4.618776420041057, -74.12387977576459 4.618818400028926, -74.12383636979006 4.618838104728083, -74.12374941553408 4.618876373329961, -74.12372066860462 4.6188892247518325, -74.12366288827307 4.618914782950953, -74.12357621687394 4.618952908716611, -74.12353022538719 4.618973246077309, -74.12350420630511 4.618984750694883, -74.12349752023745 4.618924918085422, -74.12348841351249 4.618838521948274, -74.12348443106863 4.618802394588165, -74.12351455456256 4.618788111365234, -74.12351456717487 4.6187881041340475, -74.12356547207526 4.618763964923778, -74.12359614870385 4.618749417762181, -74.12362998373904 4.618735335331354, -74.12365676498241 4.618722491081089, -74.123736933937 4.6186840378660525))",LAS DELICIAS,Las Delicias,13.0,16,PUENTE ARANDA,749.2164322225,-74.12392140948073,4.618703500048146
"POLYGON ((-74.10796237966468 4.602226465307741, -74.10788454584437 4.602314202023288, -74.10785050364856 4.602353102537229, -74.10777002830369 4.602445079522519, -74.10757251194507 4.602670195507724, -74.10738531886972 4.602883286765911, -74.10724465984697 4.6030425783846685, -74.10715141233108 4.603148598347915, -74.10705064316895 4.603263392516922, -74.10694882349465 4.603379943890052, -74.10684385516613 4.6034996552789895, -74.10672244091732 4.60363726844727, -74.10660767431592 4.603768212629243, -74.10649395805586 4.603899156851044, -74.10637779214387 4.604033962586945, -74.10626582539602 4.604162098298904, -74.10621509025826 4.604219319933613, -74.10620319374561 4.604234766848436, -74.1060891276908 4.604367817184603, -74.10592852468112 4.604552121481206, -74.10577806849918 4.604724139843083, -74.10563356082288 4.6048908912016175, -74.10551144598762 4.605031313587809, -74.10537813561756 4.605183671049927, -74.10527456593601 4.605300573707189, -74.10519338901 4.605393603447798, -74.10512061127413 4.605475750119123, -74.10508737068889 4.605511908863318, -74.10505797824709 4.605552631870632, -74.10500654230466 4.6056210876559645, -74.10493705274791 4.605607965476788, -74.10485942732745 4.605600522326767, -74.10483650716154 4.6055997481046695, -74.10482895717902 4.605599691616441, -74.10476743462128 4.605603422215095, -74.10470680797049 4.6056145670532, -74.10465325985305 4.605630981424012, -74.10453806137454 4.605679685735516, -74.10441385351837 4.605728477176914, -74.10440195785209 4.60572847556726, -74.104394610638 4.605727071298083, -74.1043816660454 4.605717590813731, -74.10423962604042 4.605612258718048, -74.10405420408159 4.605476379554226, -74.10391128855153 4.605371045532865, -74.10370951076396 4.6052236679666985, -74.10353502023985 4.605111398674312, -74.10337863584266 4.604999219026699, -74.10351145056443 4.604811430715777, -74.10358804509715 4.604702536579865, -74.10364789500537 4.604618844434714, -74.10367254959831 4.60458396613528, -74.10370991617606 4.604531107241973, -74.10377906816265 4.6044324805954915, -74.1038273943361 4.604365464701204, -74.10383665037155 4.604352645448592, -74.10384498910834 4.6043438351558885, -74.10387271839157 4.604306786651558, -74.10396823028607 4.604171757721559, -74.10402621806163 4.60408806543092, -74.10410157282229 4.603980104941512, -74.10414808878295 4.603919124585515, -74.10421134922598 4.603834187855171, -74.1042761593982 4.603744273162095, -74.10430032923276 4.60371013876095, -74.10437353062767 4.603606755712243, -74.10445012554425 4.6035022176092975, -74.10454408569692 4.603371856499418, -74.10464176838794 4.603236517546812, -74.1047230147474 4.603123890244204, -74.10483372018676 4.602968949888212, -74.1048982211952 4.602879346075288, -74.10502071009527 4.602699827091742, -74.10517575947212 4.602495728886345, -74.10527095981857 4.6023653677465886, -74.1053475545244 4.602259896665241, -74.10541329613089 4.602165624880002, -74.10527439077848 4.602058894757131, -74.1051640112083 4.601972701286432, -74.10511316270242 4.601935361599343, -74.1049906910229 4.601851967832123, -74.10489674425115 4.601788177857993, -74.10482698165617 4.601736523003667, -74.10468869682632 4.601635393673531, -74.10473366129976 4.601575036003176, -74.10479847305606 4.601484187474744, -74.10486762448714 4.601387427365424, -74.1049687166856 4.601249287218068, -74.10506267642737 4.601119236986525, -74.1051488846268 4.601001009948744, -74.10521989715205 4.600903317035589, -74.10528966822942 4.600806868781225, -74.10536254199336 4.600706686484264, -74.10542487133222 4.600623616236131, -74.1054813096772 4.6005473894431015, -74.10553247507846 4.600476765019765, -74.10561651206551 4.600359158809872, -74.10566271056942 4.600392765787371, -74.10571355908428 4.600428549739126, -74.10573216235926 4.60044348585954, -74.10581432593226 4.600509453568165, -74.10588842925338 4.600567642321692, -74.10595788084696 4.600622406641598, -74.10600283882259 4.600657880181826, -74.10605430716835 4.600693353186025, -74.10614887443971 4.600759632520944, -74.10621119659366 4.600802573656587, -74.10630514318065 4.600869474852777, -74.10634637878015 4.60090743763737, -74.10644869825043 4.600966249844626, -74.1064710234111 4.600972473891131, -74.10649551834683 4.6009849208469635, -74.10651536129502 4.600998301319821, -74.10660868860977 4.601057112997824, -74.1066868228429 4.60110752250611, -74.10672930132303 4.601134905514239, -74.10677053773834 4.6011588660978395, -74.10683596084546 4.60119838499991, -74.1068815389719 4.601228568607394, -74.10695099219168 4.601272755718535, -74.10699625926296 4.601307916446882, -74.10701796309023 4.601326275962675, -74.10705982023072 4.601366104492157, -74.10710043693602 4.601405621991757, -74.10712462158018 4.601425847393532, -74.10717205942082 4.601465988088398, -74.10720957583884 4.601498348842502, -74.1072225966995 4.601512661793965, -74.10725205240247 4.601545022099919, -74.10727375598745 4.601568048698724, -74.10730352003829 4.601595741928745, -74.10740459735715 4.601688779263102, -74.10748738126158 4.601766569567394, -74.10759155900067 4.601865518874649, -74.1076731025048 4.601942998130731, -74.10772302010494 4.601989049849614, -74.10778224017417 4.602044748116524, -74.10784610995694 4.602108535170943, -74.10789633903555 4.6021589430268035, -74.10796237966468 4.602226465307741))","URBANIZACION ""LA ASUNCION""","Urbanizacion ""La Asuncion""",13.0,16,PUENTE ARANDA,749.2164322225,-74.1056615585512,4.6031048564253245
"POLYGON ((-74.09381729311093 4.628098125578027, -74.094003787328 4.62791707856128, -74.09502764186243 4.6289983667965595, -74.09500304077831 4.629097799345283, -74.09496754157475 4.62916306184211, -74.09490609931437 4.6292110570247695, -74.09381729311093 4.628098125578027))",CAMILO TORRES,Camilo Torres,13.0,16,PUENTE ARANDA,749.2164322225,-74.09443580584608,4.628554572840459
"POLYGON ((-74.11437246700001 4.628208433999986, -74.114645774 4.627866410000024, -74.11533323399999 4.62700328599999, -74.11563379699999 4.626624504000005, -74.11564815999998 4.626606401999993, -74.11651228099998 4.625546761999999, -74.11694626100001 4.625026575999982, -74.11737640000001 4.624490975000014, -74.117833421 4.623939961000019, -74.11814834400002 4.623550783999974, -74.11882036499998 4.624113412999975, -74.11916985200003 4.623697262999996, -74.11951933699999 4.623257991000002, -74.12002244299998 4.622633763999999, -74.12045257900002 4.622094307999987, -74.12088271300001 4.621581825000021, -74.12118186499998 4.621211054000014, -74.12170855900001 4.621734538999987, -74.12161671000001 4.621888129000012, -74.12103449900002 4.622902108000005, -74.12064363500002 4.623586611999996, -74.12018192 4.624404261999984, -74.11980086699998 4.625054474000023, -74.119186173 4.626128859000004, -74.11854644200002 4.627284171999974, -74.11787418199998 4.628479712, -74.115652974 4.628243209000004, -74.11493631299999 4.628305453999985, -74.11437246700001 4.628208433999986))",La Trinidad,La Trinidad,13.0,16,PUENTE ARANDA,749.2164322225,-74.1180628467611,4.625641001564185
