geometry,barrio_name,name_normalized,index_right,identificad,nombre_de_l,densidad_ur,lon_barr,lat_barr
"POLYGON ((-74.07784881706174 4.681049522146096, -74.07787883765255 4.680962874547903, -74.07805093636395 4.681118988601647, -74.07818291988725 4.681237612012689, -74.07831153420331 4.681353468992639, -74.07841106334446 4.68144273442001, -74.07835439265196 4.681513871328082, -74.07832284573598 4.681546440170983, -74.07826005426749 4.6816336983674045, -74.07822208442396 4.681685915672786, -74.07820325105726 4.681714614147447, -74.07816415256549 4.681764358140304, -74.07809382153188 4.681856190458676, -74.07807021937721 4.681885844838405, -74.07800799757979 4.681951132636163, -74.07799630392427 4.681963774091464, -74.07792837114681 4.682037223962551, -74.07790658522667 4.682011980010054, -74.07782817070391 4.681921087675402, -74.07776834609562 4.681850047835488, -74.07773545516493 4.681806515938878, -74.07769922708033 4.681763699638078, -74.07767586964114 4.681741454819612, -74.07764893579298 4.681715861428541, -74.07763583032512 4.681664438212044, -74.07764395188143 4.681641238310558, -74.07766563639787 4.681579296579734, -74.07769663402213 4.681488895899899, -74.07770521900898 4.681462109181699, -74.0777285868935 4.681395861210975, -74.07776721297748 4.681284891061451, -74.07778009117665 4.681255712920771, -74.07781466630084 4.6811571806795405, -74.0778413702879 4.681082322033443, -74.07784881706174 4.681049522146096))",SIMON BOLIVAR SEGUNDO SECTOR,Simon Bolivar Segundo Sector,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.07798133997987,4.681513941684694
"POLYGON ((-74.07766388521995 4.673892375827874, -74.07759657475985 4.673994296474451, -74.07755646903745 4.674093985237259, -74.07752893157364 4.674163320691782, -74.07730444670679 4.674104728182597, -74.07727807381436 4.674140526400091, -74.07716380621208 4.6740551219163455, -74.07710658418299 4.674021029303125, -74.07694334815098 4.673891328325989, -74.0769988735608 4.67388123946464, -74.07703961432124 4.673829115590677, -74.07703108296501 4.673824396139972, -74.0770624789376 4.67378467258748, -74.07709585531593 4.673807327908901, -74.07712894075334 4.673765341941233, -74.07712215117039 4.673757853874219, -74.07718349053452 4.673681049756725, -74.07729287673509 4.673776620447954, -74.07730166259853 4.67376765235328, -74.07735130379082 4.673805703490133, -74.07747652223554 4.673651632638406, -74.07752387509278 4.673689387042844, -74.07757375750951 4.673729809241201, -74.07752856594685 4.673784442065683, -74.07766388521995 4.673892375827874))",LOTEO LA LIBERTAD,Loteo La Libertad,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.07733718371861,4.673918299724082
"POLYGON ((-74.06653612299999 4.667798324999978, -74.066431642 4.667730000999995, -74.06623981899997 4.667607022000027, -74.06608008199998 4.667504597000004, -74.06594867299998 4.667419642000027, -74.06572783799999 4.6672781650000275, -74.06553977099998 4.667157927000005, -74.06535477400001 4.667038715999979, -74.06517865299998 4.666925671000001, -74.06502096399998 4.666824958999995, -74.064864639 4.666724588000022, -74.06479227900002 4.666678343000001, -74.06479603399998 4.666672177999998, -74.06486670700002 4.6665619049999805, -74.064891149 4.6665245519999985, -74.06492037599998 4.666473633999999, -74.06523263499997 4.665990688000022, -74.06553874100001 4.665513911999994, -74.06586484399998 4.665001647999986, -74.06603405099997 4.664727000000027, -74.06610542700002 4.664772582000011, -74.066565395 4.66507894, -74.067219803 4.665511198999979, -74.067842853 4.66591198399999, -74.06818783 4.666138604000025, -74.06875862599998 4.666379937999977, -74.06901788599998 4.666512140000008, -74.06929595499997 4.66672616400001, -74.06964302099999 4.666973763999976, -74.07001726300001 4.6672717170000055, -74.069899351 4.6674251680000225, -74.06969554900002 4.66768788600001, -74.06948280699999 4.667967638999982, -74.06925040099998 4.668266222999989, -74.06906447699998 4.668502937000027, -74.068857993 4.66877193099998, -74.068483448 4.669245607999982, -74.06809294599998 4.668961366000019, -74.06754532000002 4.668564930999991, -74.066994701 4.668169997999996, -74.06702613200002 4.668115951000004, -74.06681515999998 4.667980799000019, -74.06653612299999 4.667798324999978))",La_Aurora,La_Aurora,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.06739353750697,4.666980373190244
"POLYGON ((-74.08393841200001 4.668423892000021, -74.08427481400003 4.667933043000005, -74.08493894200001 4.6670417490000204, -74.08541119400002 4.666324196000005, -74.08549304399997 4.666164464000019, -74.085895644 4.666834220999987, -74.08616023799999 4.667263014000013, -74.08647578799997 4.6677881879999745, -74.08671686100001 4.668195342999979, -74.08696773399998 4.668616267999993, -74.08709513000002 4.6688345979999895, -74.087289166 4.669157175000009, -74.08743420100001 4.669397141999979, -74.08758512000003 4.669633175000001, -74.087747799 4.669863308999993, -74.08805356699997 4.670223266999983, -74.08846713600002 4.670722878999981, -74.08881798499999 4.671141845000022, -74.08896890800003 4.67132084100001, -74.08906103700002 4.671362153000018, -74.08913160600002 4.671371992999979, -74.08920413599998 4.671360198999991, -74.08927274799998 4.671338569999989, -74.089467039 4.671549645000027, -74.08935323600002 4.671696962999988, -74.089293285 4.671801446000017, -74.08901246699998 4.672290868999994, -74.08882439500002 4.672142167000004, -74.088337191 4.671769997000012, -74.08757366100002 4.671193497999979, -74.086242943 4.670171852999999, -74.08457772899999 4.668938572999991, -74.08393841200001 4.668423892000021))",S.C. José Joaquín Vargas,S.C. Jose Joaquin Vargas,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.08641043977063,4.669182665026927
"POLYGON ((-74.07178644200002 4.689570332000016, -74.071931312 4.689074455000025, -74.07233141199998 4.68892893100002, -74.07274798200001 4.6887397869999745, -74.07326120200003 4.688468451999995, -74.073683243 4.688201553999988, -74.073683249 4.68820155100002, -74.073926755 4.688047558999983, -74.07400815300002 4.687983141000017, -74.07455638699997 4.688734614999987, -74.073919746 4.689203177000024, -74.07378050699998 4.689305654999998, -74.07237172800001 4.690336145000003, -74.07178644200002 4.689570332000016))",Urb. La Floresta V Sector,Urb. La Floresta V Sector,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.07309309684437,4.689144867436523
"POLYGON ((-74.06467040000001 4.670647873999996, -74.064906323 4.670288866000021, -74.065188766 4.6698574920000055, -74.065479724 4.669424693999985, -74.065765005 4.6689847769999915, -74.06604744700002 4.6685548259999905, -74.06633840500001 4.668109214000026, -74.06653612299999 4.667798324999978, -74.06681515999998 4.667980799000019, -74.06702613200002 4.668115951000004, -74.066994701 4.668169997999996, -74.06754532000002 4.668564930999991, -74.06809294599998 4.668961366000019, -74.068483448 4.669245607999982, -74.06863757999997 4.6693578, -74.06916126800002 4.66973621400001, -74.069770243 4.670170188999975, -74.07013233800001 4.670417961999987, -74.07018022199998 4.670420970000009, -74.07022511500003 4.670410466000021, -74.07044356400002 4.670589156999994, -74.0707069 4.670821905000025, -74.07061836999998 4.670929843999999, -74.07002942700001 4.671592675999988, -74.06971956699999 4.671922925999979, -74.069281407 4.6723794459999795, -74.06899333899997 4.672631982999973, -74.068359111 4.673146766000002, -74.067950011 4.673477003000016, -74.06750218100001 4.673814520999997, -74.06743416799998 4.673866318000023, -74.06733187999998 4.673751482, -74.06676044699998 4.67312211799998, -74.06613920400002 4.672389824999982, -74.06550038199998 4.67161047899998, -74.06505789200003 4.671110517999977, -74.06467040000001 4.670647873999996))",Santa_Sofía,Santa_Sofia,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.06749488959697,4.670856906120257
"POLYGON ((-74.06838279800002 4.674702450999973, -74.068240333 4.674595553000017, -74.06816413799999 4.67453967099999, -74.067786103 4.6742073350000055, -74.06750477499997 4.673945585000012, -74.06743416799998 4.673866318000023, -74.06750218100001 4.673814520999997, -74.067950011 4.673477003000016, -74.068359111 4.673146766000002, -74.06899333899997 4.672631982999973, -74.069281407 4.6723794459999795, -74.06971956699999 4.671922925999979, -74.07002942700001 4.671592675999988, -74.07061836999998 4.670929843999999, -74.0707069 4.670821905000025, -74.07082655300002 4.6709318310000185, -74.07094315 4.671007464000013, -74.07108676299998 4.671107356999982, -74.07139531399997 4.671351372999993, -74.07197829500001 4.671780903000012, -74.07219442399997 4.671945010000001, -74.07274185799997 4.6723517070000185, -74.07335185599999 4.67281120299998, -74.07386516499997 4.673196492999977, -74.07454341599998 4.67370735899999, -74.075223091 4.674209663999988, -74.075494676 4.67442371200002, -74.07562264900002 4.67450648099998, -74.07562264 4.674587807000023, -74.07574439199999 4.675407086999996, -74.07586826199997 4.676184410000018, -74.07591179999997 4.676526641999998, -74.07559855 4.6768662840000275, -74.07508036600001 4.677459257999999, -74.07436345899998 4.678276804999995, -74.07425939900003 4.678396100999975, -74.07415725300001 4.678336721999983, -74.07406638600003 4.678424930000005, -74.07350956900001 4.678045526999994, -74.07329563299999 4.677913175000014, -74.07263916599999 4.677551402000006, -74.07171309099999 4.6769396450000045, -74.07105663499999 4.67650435500002, -74.070438276 4.676104356999985, -74.06940377299998 4.675422007999998, -74.068553904 4.674830840000026, -74.06838279800002 4.674702450999973))",Jorge Eliécer Gaitan,Jorge Eliecer Gaitan,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.07209007785659,4.674671421855662
"POLYGON ((-74.07882327300001 4.680999916000018, -74.07871837900001 4.68113486499999, -74.07822708999998 4.681773228999986, -74.07794199 4.682138373999976, -74.077824899 4.68224816899999, -74.07753532800001 4.6818908079999915, -74.07765354399999 4.68126919399998, -74.07770465499999 4.681161307000024, -74.07778026 4.681003944999986, -74.077882322 4.680852274000017, -74.07796170199998 4.680740415999991, -74.07816204099998 4.680474994999997, -74.07820739099998 4.680512920000012, -74.07870434799997 4.680897866000009, -74.07882327300001 4.680999916000018))",Urb. Simón Bolívar,Urb. Simon Bolivar,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.07809644213252,4.681323183060293
"POLYGON ((-74.06174618400001 4.669843790000015, -74.061262349 4.669763350999971, -74.06117097700002 4.669729303999986, -74.060839295 4.669676013000014, -74.06017756900002 4.669549943999982, -74.060484788 4.6677398150000045, -74.060848561 4.6677692310000225, -74.06103314500001 4.667785244000015, -74.06124068600002 4.667803248999973, -74.061689398 4.667848116000016, -74.06183592600001 4.66786276800002, -74.06208135499998 4.667896767999991, -74.06214627899999 4.667596737999986, -74.06218225200001 4.667532773999994, -74.06238248900002 4.66778138799998, -74.06272826700001 4.668225467000013, -74.062799042 4.66831696600002, -74.06307404400002 4.66867248699998, -74.06330561599998 4.668968402000018, -74.06325678799999 4.669693725999991, -74.063234206 4.67035284100001, -74.06324767199999 4.670605654999974, -74.06315312999999 4.671030006000023, -74.062695453 4.670940137000002, -74.06273704699998 4.6707455000000095, -74.062559244 4.670557785000028, -74.062438015 4.6704303239999945, -74.062443793 4.670395567000014, -74.062525832 4.6699726919999875, -74.06256857599999 4.669736716999977, -74.06257062399999 4.669724842999983, -74.062215202 4.669662705999996, -74.06178892499997 4.6695910660000095, -74.06174618400001 4.669843790000015))",Polo Club - Colombiana de Capitalización I Sector,Polo Club - Colombiana De Capitalizacion I Sector,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.0618623324015,4.6690268789059015
"POLYGON ((-74.100866924 4.670660675000021, -74.10074521899998 4.670568150000008, -74.10044648299998 4.670388648000027, -74.09974390000002 4.669983376000004, -74.09880343499998 4.6694522660000075, -74.098027092 4.669015532000003, -74.09718989700002 4.668530685999996, -74.09695570299999 4.668406697000023, -74.09659611799998 4.668177230000026, -74.09604659899998 4.6677941710000255, -74.095474954 4.6673870559999955, -74.09512828200002 4.667118732999995, -74.09454557599997 4.666680161999977, -74.09400343700003 4.666287851999982, -74.09370419200002 4.666064582999979, -74.09371433899997 4.6660514469999725, -74.09947292800001 4.6585965410000085, -74.09982187100002 4.65888879800002, -74.100435339 4.659394545999987, -74.100635694 4.659563896999998, -74.10132492499997 4.660144299000023, -74.10183254700001 4.660563462000027, -74.10248423899998 4.661101441000028, -74.10303319500002 4.661556639000025, -74.10315360800001 4.661536511999997, -74.10363520599998 4.661975240999993, -74.10416119799999 4.662453453000011, -74.10420617099999 4.662418494999997, -74.10428055900002 4.662327313999981, -74.10367670800002 4.6617788059999725, -74.10339772100002 4.661528944999986, -74.10327772599999 4.661419066999997, -74.10319372999999 4.661354343000027, -74.10264175499998 4.660901278999972, -74.10241076599999 4.6607086139999865, -74.102154278 4.660496380999973, -74.10171479899998 4.660132122999982, -74.10140131399999 4.6598702179999805, -74.10099933499998 4.659537569999997, -74.10075334700002 4.659332862999974, -74.100596699 4.659212919000026, -74.10062913500002 4.659163476000003, -74.10058235999998 4.659128161000012, -74.09994638900002 4.658652512000003, -74.09961768099998 4.658409144000017, -74.10048787300002 4.657282598999984, -74.10336859900002 4.6535531960000185, -74.103414682 4.653493536999974, -74.10341470700001 4.653493575000027, -74.10343720899999 4.653528882999978, -74.10610726700003 4.657718425999974, -74.10628673399998 4.658000022999999, -74.10939369200003 4.662875019000011, -74.10951742999998 4.663069167999992, -74.10951732199999 4.663069269999994, -74.10689519599998 4.665526799000019, -74.10537041499998 4.666907036999987, -74.10494978399998 4.667293856000014, -74.104353893 4.667803750000018, -74.10386315900001 4.6681993540000235, -74.103425007 4.668498250000027, -74.10177752700002 4.670010352000019, -74.10119914699999 4.670643331999997, -74.100916719 4.670627373000002, -74.100866924 4.670660675000021))",S.C. Jardín Botánico,S.C. Jardin Botanico,15.0,12,BARRIOS UNIDOS,686.1596662053,-74.1019008023776,4.663023042910135
